#,What is your age?,Which country do you currently live in?,How do you describe your gender?,Other,How do you describe your sexual orientation?,Other,What is your current relationship status?,Have you used condoms during the past 12 months?,With a new partner,Casual sex,In a long-term relationship,When travelling,I always use condoms,Other,What is your main reason for using condoms?,"If pregnancy were already prevented by another method, how likely would you be to use a condom with a new or casual partner?",RFSU,Durex,MR SIZE,ONE,LELO,I never buy condoms,I don't remember,Other,Who normally buys the condoms you use?,Other,Pharmacy,Supermarket,Convenience store,Online,Sex shop,Delivery app,Hotel,Nightclub / bar,Vending machine,Not applicable,Safety / trust,Fit,Lubrication,Price,Brand,Packaging / design,Discretion,Sustainability,Availability,Other,Do you normally carry condoms with you?,I don't expect to need one,I forget,I don't like how condom packaging looks,It feels awkward or embarrassing to carry them,My partner normally has them,I can usually buy one when needed,I don't use condoms often,Other,Do you normally keep condoms at home?,I don't expect to need them,I forget to buy them,I'm in a relationship and use another contraceptive method,I don't like using condoms,My partner normally provides them,I don't want condoms visible at home,I don't like the way the packaging looks,Other,Have you ever wanted to use a condom during sex but ended up not using one?,Neither of us had one,We didn't want to interrupt the moment,My partner didn't want to use one,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,Condoms reduce sensation,Alcohol or drugs affected the decision,Other,I would be more likely to carry condoms with me.,I would be more likely to keep condoms easily accessible at home.,I would be willing to pay more for a better product and better-designed packaging.,Brand's own website,Department store,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,Fashion / concept store,Nightclub / bar,Restaurant bathroom,Gym,Delivery app,Vending machine,Other,Which of these is most appealing to you?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,Do you have a second favorite?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,What is the maximum price you would be willing to pay for a pack of 12 premium condoms?,Is there anything else you’d like to share with us?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
nkhh9o87lmaicdnkhhxv48tou9o9uy80,43 +,Sweden,Woman,,Heterosexual,,Married,No,With a new partner,,,,,,Both STI and pregnancy protection,Likely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,Safety / trust,Fit,,,,,,,Availability,,Never,I don't expect to need one,,,,,,,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",,,,I felt awkward suggesting it,,,,,,Probably,Maybe,Probably,Brand's own website,,Hotel room / minibar,,Supermarket,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,I like the logo / typography,,choice 4,,Looks most stylish,,,,,,,,I like the logo / typography,,169 SEK,,completed,2026-08-23 17:27:41,,2026-08-23 17:36:06,9a3e53809a,,"Thank you for taking part 
in the BEAR condoms survey!"
wdlg3lpc3nlmyimbawdlg3lqt1sd7a02,38 to 43,Sweden,Woman,,Bisexual,,Living with a partner,No,With a new partner,,,,,,Protection against STIs,Very likely,,,,,,I never buy condoms,,,Me,,Pharmacy,,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,I don't expect to need one,,,,,,,,Always,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Definitely,Definitely,Probably,,,,,Supermarket,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,,,choice 6,,,,,,,,,I like the colours,,,169 SEK,,completed,2026-08-23 17:22:18,,2026-08-23 17:26:08,72beddff7c,,"Thank you for taking part 
in the BEAR condoms survey!"
k2xs8ihtii7qivpqpk2xs8i6b1mi8aza,28 to 33,Sweden,Man,,Heterosexual,,Single,Frequently,,Casual sex,,,,,Both STI and pregnancy protection,Very likely,RFSU,,,,,,,,Me,,Pharmacy,Supermarket,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, several times",Neither of us had one,,,,,I didn't think the STI risk was high,,,,Probably not,Probably not,Probably,Brand's own website,,Hotel room / minibar,Pharmacy,Supermarket,,,,Restaurant bathroom,,,,,choice 2,,,,,,Looks highest quality,,,,,,choice 6,,Looks most stylish,,,,,,,,,,199 SEK,,completed,2026-08-23 15:31:19,,2026-08-23 15:37:39,e01ab4103f,,"Thank you for taking part 
in the BEAR condoms survey!"
8i9xrkwcs2dhwkg31wtti8i9xrkw7akr,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,No,With a new partner,,,,,,I don't normally use condoms,Very likely,RFSU,Durex,,,,,,,Both of us,,,Supermarket,,,,,,,,,Safety / trust,,,,,,,Sustainability,Availability,,Never,,,,,,,I don't use condoms often,,Rarely,,,I'm in a relationship and use another contraceptive method,,,,,,No,,,,,,,,,,Maybe,Maybe,Probably,Brand's own website,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 6,,,,,,,,I would be comfortable leaving it visible at home,I like the colours,,,choice 1,,,,,,,I would feel comfortable carrying it,,I like the colours,I like the logo / typography,,149 SEK,,completed,2026-08-23 11:47:15,,2026-08-23 11:51:56,61da9e8d86,,"Thank you for taking part 
in the BEAR condoms survey!"
3n6psbnuqk045wqbi05ld3n6pp09ficj,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,No,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Likely,RFSU,,,,,,,,Me,,,Supermarket,,,,,,,,,Safety / trust,,,Price,,,,,Availability,,Never,I don't expect to need one,,,,,,,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Probably not,Probably not,Probably,Brand's own website,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 2,,,,Most discreet,,,,,,,,choice 6,,Looks most stylish,,,,,,,,,,149 SEK,,completed,2026-08-23 11:45:18,,2026-08-23 11:51:54,63e944df8c,,"Thank you for taking part 
in the BEAR condoms survey!"
4g32ez52f2n2gcgt7x4g32ewnrbfvu0n,33 to 38,Sweden,Woman,,Heterosexual,,In a relationship,No,With a new partner,,,,,,Both STI and pregnancy protection,Likely,RFSU,,,,,,,,Me,,,,,,,,,,,,Safety / trust,Fit,,,,,,Sustainability,,,Rarely,,,,,,I can usually buy one when needed,,,Sometimes,,,,,,,,,No,,,,,,,,,,Probably not,Probably not,Maybe,Brand's own website,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 6,,,,,,,,,I like the colours,,,,,,,,,,,,I like the colours,,,129 SEK,,completed,2026-08-23 05:46:34,,2026-08-23 05:51:33,d96d76b254,,"Thank you for taking part 
in the BEAR condoms survey!"
094l670z9fs8dw09uueyrxpawxlgcu6k,28 to 33,Sweden,Woman,,Heterosexual,,Single,No,With a new partner,,,,,,Protection against STIs,Very likely,,,,,,I never buy condoms,,,My partner,,,,Convenience store,,,,,,,,,,,Price,,Packaging / design,,,Availability,,Never,,,,,,,I don't use condoms often,,Rarely,,,,I don't like using condoms,,,,,"Yes, several times",,We didn't want to interrupt the moment,My partner didn't want to use one,,,,,,,Probably not,Definitely not,Definitely not,Brand's own website,,,,,,,,Restaurant bathroom,,,,,choice 1,,Looks most stylish,,,,,,,I like the colours,,,choice 3,,,,,Most distinctive,,,,,,,199 SEK,Great initiative,completed,2026-08-22 21:11:21,,2026-08-22 21:27:47,d16385b6b0,,"Thank you for taking part 
in the BEAR condoms survey!"
mvg7zngb9oe6n0f990mmvg7zngvyla5g,28 to 33,Sweden,Woman,,Heterosexual,,Single,No,With a new partner,,,,,,I don't normally use condoms,Rarely,,,,,,,I don't remember,,My partner,,,,,Online,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,,,,,,,I don't use condoms often,,Always,,,,,,,,,"Yes, once or twice",,,,,,I didn't think the STI risk was high,,,,Maybe,Probably,Definitely,Brand's own website,,Hotel room / minibar,,,,,,,,,,,,Looks most premium,,,,,Looks highest quality,,I would be comfortable leaving it visible at home,I like the colours,,,,,Looks most stylish,Feels most trustworthy,,,,,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,169 SEK,,completed,2026-08-22 16:33:00,,2026-08-22 16:45:14,8ee5766577,,"Thank you for taking part 
in the BEAR condoms survey!"
w9hwjep3ftyc7wbcpw9hwjo8q5edjstk,23 to 28,Sweden,Woman,,Heterosexual,,Living with a partner,Once or twice,With a new partner,,,,,,I don't normally use condoms,Rarely,RFSU,,,,,,,,,We don’t use condoms,Pharmacy,Supermarket,,,,,,,,,Safety / trust,,,,Brand,Packaging / design,,,,,Never,I don't expect to need one,,,,,,I don't use condoms often,,Usually,,,,,,,,,"Yes, several times",,,,I felt awkward suggesting it,,,,,,Maybe,Probably,Maybe,Brand's own website,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 4,Looks most premium,,,Most discreet,,Looks highest quality,,,,I like the logo / typography,,choice 3,,Looks most stylish,,,,,,,I like the colours,,,169 SEK,,completed,2026-08-22 10:45:28,,2026-08-22 10:49:44,36682c2d1e,,"Thank you for taking part 
in the BEAR condoms survey!"
gfk13wzbc17mv2gfk13fcpxz2be9hq4r,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Once or twice,With a new partner,Casual sex,,,,,Protection against STIs,Very likely,,Durex,,,,,,,Both of us,,Pharmacy,Supermarket,,,,,,,,,,Fit,Lubrication,Price,,,,,,,Rarely,,,,,,,I don't use condoms often,,Usually,,,,,,,,,"Yes, once or twice",,,,,,,Condoms reduce sensation,,,Probably not,Probably not,Probably,Brand's own website,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,To strong identity,129 SEK,,completed,2026-08-22 08:36:43,,2026-08-22 08:42:38,164753ae6b,,"Thank you for taking part 
in the BEAR condoms survey!"
